duration_limit,song_type,percentage
5,Instrumental Songs,30.555555555555557
5,Normal Songs,11.86752529898804
10,Instrumental Songs,2.7777777777777777
10,Normal Songs,0.18399264029438822
15,Instrumental Songs,0.7936507936507936
15,Normal Songs,0.030665440049064706
