word,frequency,song_count,song_percentage
燃烧,69,41,1.1670936521491604
背对背,33,9,0.25619128949615716
拥抱,230,121,3.4443495587816684
来不及,74,48,1.3663535439795047
变老,21,10,0.2846569883290635
玩笑,24,12,0.3415883859948762
知道,644,245,6.974096214062055
一直,320,150,4.269854824935952
变成,235,111,3.159692570452605
既然,40,24,0.6831767719897524
轻易,42,28,0.7970395673213778
失望,38,26,0.740108169655565
心脏,27,21,0.5977796754910333
往事,65,33,0.9393680614859093
不会,487,263,7.48647879305437
说谎,29,15,0.4269854824935952
为难,22,15,0.4269854824935952
两人,29,15,0.4269854824935952
之间,91,55,1.565613435809849
需要,317,151,4.298320523768859
这样,467,189,5.3800170794193
心酸,24,16,0.4554511813265016
学会,109,54,1.5371477369769428
以前,50,29,0.825505266154284
渴望,68,43,1.224025049814973
那些,357,149,4.241389126103046
信仰,38,21,0.5977796754910333
远距离,20,6,0.1707941929974381
迷惘,20,15,0.4269854824935952
太阳,155,76,2.1633931113008824
找到,120,74,2.10646171363507
月亮,131,49,1.394819242812411
模仿,28,23,0.6547110731568461
这些,65,38,1.0816965556504412
努力,150,80,2.277255906632508
简单,141,61,1.7364076288072874
快乐,338,160,4.554511813265016
泪水,73,40,1.138627953316254
一种,189,106,3.017364076288073
几年,51,25,0.7116424708226587
幻想,87,54,1.5371477369769428
原谅,115,58,1.651010532308568
一张,42,28,0.7970395673213778
一身,45,19,0.5408482778252206
想念,261,102,2.9035012809564473
我会,323,147,4.184457728437233
记忆,154,99,2.818104184457728
路灯,26,18,0.5123825789923143
情人,65,31,0.8824366638200968
一起,448,202,5.750071164247082
看过,28,17,0.48391688015940787
多少,318,146,4.1559920296043265
遗忘,76,40,1.138627953316254
紧张,22,16,0.4554511813265016
那个,207,88,2.5049814972957587
配唱,118,110,3.131226871619698
协力,24,22,0.6262453743239397
第一,31,25,0.7116424708226587
小提琴,71,51,1.4517506404782237
中提琴,29,29,0.825505266154284
大提琴,61,59,1.6794762311414746
白金,34,25,0.7116424708226587
飞行,41,23,0.6547110731568461
刘卓,68,40,1.138627953316254
最美,58,37,1.053230856817535
秘密,85,45,1.2809564474807857
制造,21,8,0.2277255906632508
幸福,420,178,5.066894392257329
远方,167,83,2.3626530031312267
消息,42,27,0.7685738684884714
下去,44,23,0.6547110731568461
继续,145,85,2.4195844007970395
累积,20,13,0.3700540848277825
回忆,404,203,5.778536863079989
一句,183,84,2.391118701964133
牵挂,92,45,1.2809564474807857
故事,213,116,3.302021064617136
认真,92,40,1.138627953316254
单纯,33,23,0.6547110731568461
一生,207,98,2.789638485624822
坚持,50,33,0.9393680614859093
未来,260,148,4.21292342727014
说好,55,26,0.740108169655565
青春,103,66,1.8787361229718187
愿望,36,25,0.7116424708226587
走过,120,76,2.1633931113008824
红尘,35,16,0.4554511813265016
不怕,111,56,1.5940791346427556
离开,337,166,4.7253060062624535
一座,21,10,0.2846569883290635
微笑,141,79,2.2487902077996016
牵着手,20,9,0.25619128949615716
感动,109,65,1.8502704241389125
眼神,96,60,1.7079419299743808
走进,27,17,0.48391688015940787
人生,163,67,1.9072018218047253
天长地久,33,16,0.4554511813265016
深情,29,18,0.5123825789923143
依然,180,90,2.5619128949615715
马毓芬,39,21,0.5977796754910333
岁月,161,84,2.391118701964133
存在,167,71,2.0210646171363504
宇宙,70,40,1.138627953316254
黑夜,116,65,1.8502704241389125
呼吸,161,89,2.5334471961286646
命运,115,66,1.8787361229718187
美好,94,64,1.8218047253060063
我用,45,23,0.6547110731568461
感受,132,69,1.964133219470538
宿命,36,15,0.4269854824935952
是否,319,130,3.700540848277825
多久,106,37,1.053230856817535
不了,63,41,1.1670936521491604
恋人,46,21,0.5977796754910333
挥手,31,18,0.5123825789923143
牵手,29,20,0.569313976658127
放手,75,38,1.0816965556504412
足够,57,33,0.9393680614859093
胸口,46,27,0.7685738684884714
伤口,49,33,0.9393680614859093
随风,30,20,0.569313976658127
尘埃,50,33,0.9393680614859093
漂流,29,16,0.4554511813265016
等待,265,139,3.956732137773982
左右,48,31,0.8824366638200968
多想,26,18,0.5123825789923143
漫天,33,20,0.569313976658127
颤抖,48,19,0.5408482778252206
回头,188,97,2.7611727867919154
爱过,137,63,1.7933390264730997
分手,66,34,0.9678337603188157
路口,63,29,0.825505266154284
渺小,24,19,0.5408482778252206
时候,300,160,4.554511813265016
弦乐,323,179,5.095360091090236
乐团,86,65,1.8502704241389125
后期,102,59,1.6794762311414746
处理,121,77,2.191858810133789
好多,33,24,0.6831767719897524
这个,202,110,3.131226871619698
过来,32,15,0.4269854824935952
觉得,131,83,2.3626530031312267
其实,218,96,2.7327070879590094
每个,196,102,2.9035012809564473
理由,108,50,1.4232849416453175
一样,411,195,5.5508112724167376
有些,184,88,2.5049814972957587
为了,228,107,3.0458297751209793
梦想,113,61,1.7364076288072874
分享,51,32,0.9109023626530032
所以,139,69,1.964133219470538
一首歌,58,29,0.825505266154284
一些,109,58,1.651010532308568
真实,42,25,0.7116424708226587
希望,225,106,3.017364076288073
天下,27,10,0.2846569883290635
珍惜,100,51,1.4517506404782237
对方,38,23,0.6547110731568461
只能,121,80,2.277255906632508
好不好,44,13,0.3700540848277825
真的,415,182,5.180757187588955
等到,100,47,1.3378878451465983
不能,434,194,5.522345573583831
发觉,22,11,0.31312268716196984
已经,345,179,5.095360091090236
眼睛,198,95,2.704241389126103
你好,44,21,0.5977796754910333
从来不,41,30,0.8539709649871904
成为,94,55,1.565613435809849
今天,221,108,3.0742954739538857
烦恼,57,31,0.8824366638200968
害怕,169,85,2.4195844007970395
喜欢,284,121,3.4443495587816684
实现,54,30,0.8539709649871904
还会,29,14,0.3985197836606889
记得,241,115,3.27355536578423
原来,151,78,2.220324508966695
停留,60,34,0.9678337603188157
也许,333,138,3.928266438941076
空虚,43,25,0.7116424708226587
相遇,104,61,1.7364076288072874
大声,48,24,0.6831767719897524
要说,26,13,0.3700540848277825
街道,32,17,0.48391688015940787
节奏,30,23,0.6547110731568461
正在,56,22,0.6262453743239397
天黑,42,16,0.4554511813265016
睡觉,21,11,0.31312268716196984
天亮,37,23,0.6547110731568461
日夜,32,18,0.5123825789923143
闪耀,30,14,0.3985197836606889
心跳,97,50,1.4232849416453175
不同,83,38,1.0816965556504412
颜色,44,31,0.8824366638200968
彼此,140,87,2.4765157984628523
跌倒,31,14,0.3985197836606889
手机,28,20,0.569313976658127
用力,40,27,0.7685738684884714
这是,93,48,1.3663535439795047
味道,111,34,0.9678337603188157
炫耀,21,14,0.3985197836606889
城市,126,87,2.4765157984628523
就要,84,51,1.4517506404782237
姚若龙,25,24,0.6831767719897524
眺望,20,12,0.3415883859948762
心里,290,157,4.469114716766296
眼前,116,72,2.0495303159692573
阳光,128,88,2.5049814972957587
笑脸,38,27,0.7685738684884714
宝贝,25,12,0.3415883859948762
担心,74,52,1.48021633931113
计划,20,15,0.4269854824935952
反而,40,20,0.569313976658127
冒险,23,14,0.3985197836606889
第一次,34,20,0.569313976658127
遇见,167,80,2.277255906632508
阴天,29,15,0.4269854824935952
遮住,20,10,0.2846569883290635
感觉,423,189,5.3800170794193
特别,149,71,2.0210646171363504
一道,70,27,0.7685738684884714
发现,148,93,2.6473099914602902
一扇,20,10,0.2846569883290635
偶尔,79,45,1.2809564474807857
一丝,41,25,0.7116424708226587
暖暖的,26,12,0.3415883859948762
就算,280,137,3.89980074010817
爱会,53,14,0.3985197836606889
窗台,21,9,0.25619128949615716
打开,44,24,0.6831767719897524
看到,206,93,2.6473099914602902
悲伤,127,80,2.277255906632508
融化,36,20,0.569313976658127
晴朗,33,22,0.6262453743239397
芬芳,22,14,0.3985197836606889
放弃,156,89,2.5334471961286646
最后,326,167,4.75377170509536
一秒,52,27,0.7685738684884714
黑暗,88,53,1.5086820381440365
人们,128,79,2.2487902077996016
骄傲,67,38,1.0816965556504412
忍受,22,13,0.3700540848277825
寒冷,36,19,0.5408482778252206
无法,245,128,3.6436094506120127
任何,93,61,1.7364076288072874
亲爱,99,39,1.1101622544833476
地球,56,34,0.9678337603188157
此刻,98,51,1.4517506404782237
泪流,56,26,0.740108169655565
才能,103,51,1.4517506404782237
找回,20,12,0.3415883859948762
闪躲,39,18,0.5123825789923143
慢慢,324,92,2.6188442926273843
距离,84,52,1.48021633931113
影子,61,30,0.8539709649871904
听说,52,27,0.7685738684884714
不到,243,124,3.529746655280387
生命,250,135,3.8428693424423574
转动,38,19,0.5408482778252206
心痛,57,33,0.9393680614859093
碰到,25,12,0.3415883859948762
坠落,60,36,1.0247651579846286
残忍,23,12,0.3415883859948762
不想,385,175,4.9814972957586106
方向,80,47,1.3378878451465983
放纵,46,23,0.6547110731568461
降落,41,19,0.5408482778252206
中国,33,17,0.48391688015940787
录音棚,168,122,3.4728152576145748
台北,25,15,0.4269854824935952
心动,36,22,0.6262453743239397
有时,84,29,0.825505266154284
念头,20,15,0.4269854824935952
不太,23,14,0.3985197836606889
到处,33,19,0.5408482778252206
跟着,93,41,1.1670936521491604
普通,23,15,0.4269854824935952
随便,46,32,0.9109023626530032
拒绝,48,27,0.7685738684884714
寻找,73,41,1.1670936521491604
祈祷,34,22,0.6262453743239397
无聊,46,32,0.9109023626530032
变得,105,69,1.964133219470538
变化,52,26,0.740108169655565
每天,133,73,2.0779960148021632
多么,160,78,2.220324508966695
重要,53,27,0.7685738684884714
完整,42,27,0.7685738684884714
迷人,63,30,0.8539709649871904
像是,86,52,1.48021633931113
终于,163,96,2.7327070879590094
一辈子,60,31,0.8824366638200968
差不多,132,9,0.25619128949615716
怀疑,85,41,1.1670936521491604
只有,319,155,4.412183319100484
不如,66,45,1.2809564474807857
一次,340,124,3.529746655280387
介意,29,11,0.31312268716196984
何时,50,28,0.7970395673213778
始终,62,38,1.0816965556504412
石头,33,18,0.5123825789923143
错误,21,11,0.31312268716196984
接受,73,44,1.2524907486478793
从没,36,25,0.7116424708226587
回来,109,49,1.394819242812411
春天,58,38,1.0816965556504412
花开,23,14,0.3985197836606889
恋爱,63,34,0.9678337603188157
灌溉,23,15,0.4269854824935952
枯萎,23,13,0.3700540848277825
一边,65,26,0.740108169655565
等候,36,23,0.6547110731568461
寂寞,396,194,5.522345573583831
自由,278,126,3.5866780529461995
耀眼,31,19,0.5408482778252206
路上,126,57,1.6225448334756618
智慧,20,16,0.4554511813265016
回家,89,56,1.5940791346427556
不再,315,179,5.095360091090236
代价,29,20,0.569313976658127
只得,25,13,0.3700540848277825
拥有,220,113,3.216623968118417
失去,263,131,3.729006547110732
沿着,36,14,0.3985197836606889
爱意,30,14,0.3985197836606889
何不,27,15,0.4269854824935952
悲哀,42,22,0.6262453743239397
虚构,21,8,0.2277255906632508
眼眸,39,21,0.5977796754910333
逃走,21,7,0.19925989183034445
绝不,32,18,0.5123825789923143
这种,66,39,1.1101622544833476
留在,66,42,1.1955593509820666
失恋,23,14,0.3985197836606889
忘掉,81,42,1.1955593509820666
恩怨,20,13,0.3700540848277825
一世,31,16,0.4554511813265016
不够,101,53,1.5086820381440365
朋友,202,92,2.6188442926273843
奇怪,40,22,0.6262453743239397
过去,250,152,4.326786222601765
还有,262,140,3.9851978366068885
难得,28,13,0.3700540848277825
有过,21,11,0.31312268716196984
痛快,31,15,0.4269854824935952
有没有,127,42,1.1955593509820666
很多,82,57,1.6225448334756618
东西,48,36,1.0247651579846286
今生,46,22,0.6262453743239397
如何,160,78,2.220324508966695
即使,42,27,0.7685738684884714
有个,39,25,0.7116424708226587
决定,83,50,1.4232849416453175
没法,64,30,0.8539709649871904
那样,46,26,0.740108169655565
借口,58,30,0.8539709649871904
不知,129,77,2.191858810133789
陌生,51,33,0.9393680614859093
昨日,39,22,0.6262453743239397
当天,32,13,0.3700540848277825
再次,99,50,1.4232849416453175
但是,75,41,1.1670936521491604
某个,42,21,0.5977796754910333
各自,38,24,0.6831767719897524
位置,20,16,0.4554511813265016
没人,62,30,0.8539709649871904
早就,40,24,0.6831767719897524
时常,30,19,0.5408482778252206
来回,24,10,0.2846569883290635
仍然,48,31,0.8824366638200968
一点点,76,40,1.138627953316254
偏偏,40,19,0.5408482778252206
轨迹,27,16,0.4554511813265016
改变,216,79,2.2487902077996016
交错,20,11,0.31312268716196984
灿烂,51,33,0.9393680614859093
花火,26,12,0.3415883859948762
轻轻,105,62,1.7648733276401936
放过,24,13,0.3700540848277825
分开,104,56,1.5940791346427556
工程师,325,186,5.2946199829205804
两个,129,68,1.9356675206376315
难受,20,11,0.31312268716196984
出口,53,30,0.8539709649871904
明天,201,106,3.017364076288073
要求,31,12,0.3415883859948762
总有,45,28,0.7970395673213778
怀抱,39,22,0.6262453743239397
享受,52,26,0.740108169655565
之前,74,40,1.138627953316254
认识,30,16,0.4554511813265016
渐渐,52,33,0.9393680614859093
熟悉,91,62,1.7648733276401936
街头,35,26,0.740108169655565
之后,57,29,0.825505266154284
问候,25,15,0.4269854824935952
那种,68,34,0.9678337603188157
难免,26,14,0.3985197836606889
直到,164,80,2.277255906632508
多年,56,36,1.0247651579846286
唐恬,20,18,0.5123825789923143
钱雷,36,15,0.4269854824935952
人声,243,176,5.009962994591517
编辑,94,92,2.6188442926273843
汝文博,32,29,0.825505266154284
周天,77,61,1.7364076288072874
版权,64,55,1.565613435809849
北京,185,124,3.529746655280387
索尼,23,13,0.3700540848277825
作品,32,25,0.7116424708226587
出品,147,143,4.070594933105608
游戏,72,39,1.1101622544833476
不必,115,55,1.565613435809849
隐藏,31,19,0.5408482778252206
孤独,183,102,2.9035012809564473
不可,85,41,1.1670936521491604
光荣,26,14,0.3985197836606889
值得,93,52,1.48021633931113
歌颂,21,14,0.3985197836606889
不算,48,24,0.6831767719897524
英雄,56,29,0.825505266154284
模样,104,61,1.7364076288072874
绝望,60,38,1.0816965556504412
不肯,41,22,0.6262453743239397
卑微,23,13,0.3700540848277825
低头,32,18,0.5123825789923143
就让,113,58,1.651010532308568
平凡,63,34,0.9678337603188157
徘徊,76,39,1.1101622544833476
分离,73,35,0.9962994591517221
日子,104,64,1.8218047253060063
难忘,26,19,0.5408482778252206
眼眶,27,14,0.3985197836606889
伤感,25,16,0.4554511813265016
流浪,65,46,1.3094221463136921
几次,25,16,0.4554511813265016
义无反顾,20,11,0.31312268716196984
交换,25,17,0.48391688015940787
温暖,142,77,2.191858810133789
胸膛,33,16,0.4554511813265016
月光,136,62,1.7648733276401936
握紧,32,16,0.4554511813265016
背影,59,35,0.9962994591517221
消失,116,67,1.9072018218047253
不停,124,70,1.9925989183034443
照亮,74,32,0.9109023626530032
晚餐,22,12,0.3415883859948762
答案,104,54,1.5371477369769428
温馨,20,11,0.31312268716196984
成长,52,36,1.0247651579846286
拥挤,27,20,0.569313976658127
别的,52,25,0.7116424708226587
土壤,22,18,0.5123825789923143
接近,30,14,0.3985197836606889
换来,29,18,0.5123825789923143
带来,35,19,0.5408482778252206
短暂,55,34,0.9678337603188157
总是,361,145,4.1275263307714205
浪漫,123,54,1.5371477369769428
漫长,76,46,1.3094221463136921
总会,64,43,1.224025049814973
幽默,35,14,0.3985197836606889
看破,30,11,0.31312268716196984
情歌,71,26,0.740108169655565
时刻,32,20,0.569313976658127
不曾,80,51,1.4517506404782237
无人,56,35,0.9962994591517221
